Country,GDP
Monaco,240862
Liechtenstein,197505
Luxembourg,125006
Bermuda,118775
Ireland,103983
Switzerland,93260
Cayman Islands,99625
Norway,108729
Singapore,82808
United States,76330
Iceland,73467
Qatar,87662
Isle of Man,79531
Macau,34585
Denmark,67790
Channel Islands,67961
Faroe Islands,66979
Australia,65100
Netherlands,57025
San Marino,54983
Austria,52085
Sweden,56424
Greenland,57116
Belgium,49927
Finland,50872
Canada,55522
Germany,48718
United Arab Emirates,53708
Hong Kong,48984
Israel,54931
United Kingdom,46125
British Virgin Islands,49444
New Zealand,48419
France,40886
Andorra,41993
European Union[n 1],37433
U.S. Virgin Islands,41976
Malta,34128
Italy,34776
Aruba,33301
Puerto Rico,35209
Cyprus,32048
Guam,35905
Sint Maarten (Dutch part),35873
New Caledonia,35745
Bahamas,31458
Brunei,37153
Taiwan[n 3],
South Korea,32423
Spain,29675
Slovenia,28439
Japan,34017
Saudi Arabia,30448
Estonia,28247
Kuwait,41080
Czech Republic,27227
Portugal,24515
Bahrain,30147
Lithuania,25065
Guyana,18200
Slovakia,21257
Turks and Caicos Islands,24918
Latvia,21780
Greece,20867
Saint Kitts and Nevis,20262
Barbados,20239
Hungary,18390
Uruguay,20795
Poland,18688
Croatia,18570
Seychelles,13251
Oman,25057
Antigua and Barbuda,19920
Curaçao,20502
Saint Martin (French part),20321
Trinidad and Tobago,19630
American Samoa,19673
Romania,15787
Panama,17358
Cook Islands,19264
Anguilla,19216
French Polynesia,18985
Costa Rica,13365
Maldives,11781
Palau,12922
Northern Mariana Islands,17303
Bulgaria,13974
Chile,15356
Montserrat,16199
Mexico,11497
Kazakhstan,11492
Russia,15271
Saint Lucia,13031
Malaysia,11993
China,12720
Mauritius,10256
Argentina,13651
Turkey,10675
Montenegro,10093
Turkmenistan,8793
Serbia,9538
Nauru,11971
Grenada,9689
Dominican Republic,10111
Brazil,8918
Cuba,9500
Saint Vincent and the Grenadines,9125
Dominica,8351
Gabon,8820
Albania,6810
Georgia,6675
Armenia,7018
Bosnia and Herzegovina,7569
Peru,7126
Botswana,7739
Thailand,6910
North Macedonia,6592
Azerbaijan,7762
Belarus,7888
Moldova,5714
Colombia,6624
Jamaica,6047
Belize,6984
Libya,6716
Equatorial Guinea,7182
Marshall Islands,6225
Suriname,5859
Ecuador,6391
Kosovo,5340
Fiji,5356
Mongolia,5046
Tuvalu,5222
Paraguay,6153
Iraq,5937
South Africa,6767
Tonga,4426
Algeria,4343
Guatemala,5473
Ukraine,4534
El Salvador,5127
Iran,4670
Indonesia,4788
Micronesia,3714
Samoa,3746
Namibia,5031
Jordan,4311
Cape Verde,3754
Vietnam,4164
Tunisia,3747
Eswatini,3987
Djibouti,3136
Philippines,3499
Morocco,3442
Bolivia,3600
Bhutan,3560
Venezuela,15976
Vanuatu,3231
Honduras,3040
Palestine,3789
Sri Lanka,3354
Lebanon,4136
Egypt,4295
São Tomé and Príncipe,2387
Nicaragua,2255
India,2411
Ivory Coast,2486
Uzbekistan,2255
Bangladesh,2688
Cambodia,1760
Papua New Guinea,3116
Congo,2649
Kiribati,1702
Angola,3000
Mauritania,2065
Solomon Islands,2205
Ghana,2204
Zimbabwe,1677
Kenya,2099
Laos,2054
Haiti,1748
Kyrgyzstan,1655
Ethiopia,1028
Senegal,1599
Cameroon,1564
Guinea,1515
Benin,1303
Pakistan,1589
East Timor,2389
Zambia,1457
Nepal,1337
Comoros,1485
Tajikistan,1054
Myanmar,1149
Tanzania,1193
Uganda,964
Zanzibar,1192
Nigeria,2163
Lesotho,970
Guinea-Bissau,776
Togo,943
Chad,717
Rwanda,966
Gambia,808
Burkina Faso,830
Mali,833
Liberia,755
Somalia,592
DR Congo,654
Niger,585
Mozambique,558
North Korea,654
Eritrea,2011
Sudan,1102
Madagascar,517
Central African Republic,427
Sierra Leone,476
Yemen,650
Malawi,645
South Sudan,1072
Afghanistan,356
Syria,421
Burundi,259
